	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
150561	0.5916	0.1572	-1.4031	0.1871	-0.554	1.366	1.9352	0.9263	0.16	-0.7379	-0.9336	0.5352	0.1779	0.4228	-2.1594	-0.6712
150635	0.5473	0.2147	-1.3902	0.2982	-0.5743	1.3461	2.0584	0.8907	0.2197	-0.7663	-0.9953	0.4813	0.0949	0.2804	-2.0745	-0.6287
150913	0.714	0.4152	-1.336	0.0757	-0.4645	1.3174	1.9272	0.7254	-0.0326	-0.7366	-0.6538	0.6608	0.4072	0.2606	-2.1239	-1.1574
150921	0.7087	0.2786	-1.4015	0.0577	-0.5391	1.3341	1.9647	0.8043	0.0287	-0.734	-0.8364	0.6129	0.3304	0.3462	-2.1317	-0.8237
151092	0.495	0.1454	-1.3873	0.4606	-0.5495	1.3992	1.8888	1.0569	0.2958	-0.9557	-1.0055	0.4879	-0.0325	0.3243	-2.0206	-0.6007
160086	0.6429	0.2099	-1.3727	0.1228	-0.5262	1.3626	1.8984	0.8909	0.0721	-0.7595	-0.8305	0.6149	0.283	0.3991	-2.1735	-0.8351
160626	0.4149	0.1082	-1.3592	0.5533	-0.5817	1.3963	1.9384	1.0749	0.3764	-0.9534	-1.0724	0.4239	-0.1182	0.2669	-1.973	-0.4914
160642	0.4963	0.1406	-1.3843	0.2152	-0.5861	1.3042	2.1076	0.8787	0.2281	-0.6139	-1.0756	0.4511	0.0943	0.3763	-2.1347	-0.4956
160662	0.7747	1.2893	-0.9206	0.6759	-0.5087	1.2478	1.7505	-0.0365	-0.0928	-1.4002	0.051	0.3507	0.4738	-1.2224	-0.8336	-1.588
160725	0.526	0.1675	-1.3518	0.2678	-0.5591	1.3857	2.0011	0.9131	0.1891	-0.7571	-0.9446	0.5017	0.1681	0.3305	-2.1277	-0.7093
160730	0.3792	0.0473	-1.3548	0.6728	-0.5196	1.4412	1.8608	1.1211	0.4248	-1.0632	-1.1078	0.3956	-0.1981	0.2621	-1.8954	-0.462
160767	0.5371	0.1543	-1.4149	0.3306	-0.5549	1.3836	1.9184	0.9892	0.2573	-0.832	-0.9823	0.497	0.0588	0.3789	-2.0875	-0.6322
160772	0.4914	0.1134	-1.3998	0.2659	-0.5545	1.3391	2.0243	0.9266	0.252	-0.6684	-1.047	0.4542	0.0651	0.4208	-2.1444	-0.5373
160774	0.5906	0.283	-1.3588	0.3585	-0.5789	1.4038	2.0382	0.846	0.1924	-0.8518	-0.8899	0.4866	0.1485	0.1542	-2.0229	-0.7967
160777	0.7205	0.4072	-1.3451	0.0672	-0.5554	1.3138	2.0195	0.695	-0.0359	-0.69	-0.687	0.6256	0.3809	0.2183	-2.1303	-1.0042
160792	0.4791	0.0543	-1.4089	0.6414	-0.5559	1.4599	1.6587	1.2234	0.3923	-1.1796	-1.0019	0.4844	-0.2547	0.3637	-1.8919	-0.4614
160939	0.7732	0.4601	-1.3411	0.2437	-0.5551	1.3971	1.8972	0.7622	-0.0	-0.9589	-0.6168	0.6292	0.2929	0.108	-1.9937	-1.0966
161152	0.6689	0.3808	-1.3077	0.1302	-0.5354	1.3509	2.0541	0.7006	0.0089	-0.7294	-0.7423	0.586	0.3905	0.1607	-2.0868	-1.029
161264	0.6212	0.2533	-1.4193	0.1071	-0.5076	1.2976	2.0	0.8386	0.1024	-0.6966	-0.9107	0.5772	0.231	0.4113	-2.1535	-0.7522
161286	0.4909	0.2357	-1.3229	0.3516	-0.523	1.3669	2.0795	0.8745	0.2029	-0.7967	-0.9665	0.4848	0.158	0.204	-2.064	-0.7736
161385	0.3832	0.1336	-1.352	0.5536	-0.5225	1.3717	2.0833	0.9694	0.3563	-0.9203	-1.1636	0.3727	-0.0576	0.193	-1.9147	-0.4814
161424	0.5709	0.2851	-1.3437	0.5409	-0.5795	1.4305	1.9707	0.9426	0.2634	-1.0802	-0.9428	0.4802	0.0095	0.0734	-1.8731	-0.7428
170012	0.6165	0.2043	-1.4293	0.2565	-0.5047	1.3676	1.854	0.9853	0.1724	-0.8871	-0.9052	0.5849	0.115	0.4125	-2.0929	-0.7498
170050	0.4904	0.2022	-1.355	0.5022	-0.5352	1.4175	1.9427	0.9932	0.286	-0.9867	-0.9766	0.4676	0.0306	0.2136	-1.9789	-0.7109
170077	0.6388	0.2977	-1.3066	0.1476	-0.6116	1.3738	2.117	0.7231	0.0357	-0.7011	-0.8174	0.5417	0.3234	0.1715	-2.1032	-0.8286
170172	0.5011	0.2064	-1.3511	0.4997	-0.6336	1.4058	2.0449	0.95	0.2987	-0.9301	-1.0263	0.4234	-0.0149	0.134	-1.945	-0.5578
170319	0.8924	0.7413	-1.2485	0.055	-0.4486	1.235	1.9013	0.4754	-0.1942	-0.8374	-0.3227	0.7069	0.5176	-0.0568	-1.8866	-1.5289
170393	0.5153	0.1364	-1.4016	0.5493	-0.554	1.438	1.7911	1.1169	0.3336	-1.0893	-0.9889	0.4893	-0.1146	0.3062	-1.9399	-0.5849
170412	0.6783	0.3763	-1.3336	-0.0144	-0.5125	1.2689	2.0746	0.657	-0.037	-0.548	-0.7528	0.6026	0.4235	0.2791	-2.1884	-0.9744
170483	0.5844	0.218	-1.4125	0.3473	-0.5353	1.3897	1.9767	0.9189	0.229	-0.8841	-0.9753	0.4939	0.0979	0.2714	-2.0193	-0.6985
